Date,ID 1,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9
2022-03-31,NA,0.303,NA,NA,NA,NA,0.159,NA,NA
2022-04-05,OUT,NA,NA,NA,NA,NA,0.211,NA,NA
2022-04-08,0.197,0.238,NA,0.353,NA,NA,NA,NA,NA
2022-04-09,0.321,0.325,NA,0.379,NA,0.317,0.256,NA,NA
2022-04-10,0.344,0.343,0.389,0.429,NA,0.414,0.339,0.248,0.351
2022-04-11,0.272,0.321,0.354,0.39,NA,NA,0.347,0.317,0.191
2022-04-12,0.211,0.281,0.065,0.354,OUT,0.244,0.191,0.341,NA
2022-04-13,0.344,0.353,0.071,0.403,OUT,0.374,0.283,0.246,NA
2022-04-14,0.294,0.309,0.053,0.375,OUT,0.317,0.3,0.219,0.258
2022-04-15,0.339,NA,0.386,0.428,0.336,0.453,0.366,NA,NA
2022-04-16,0.279,0.356,0.261,0.406,NA,0.35,0.263,0.379,0.049
2022-04-18,0.284,0.36,0.045,0.412,0.286,0.389,0.256,0.353,NA
2022-04-20,0.301,0.196,0.368,0.369,NA,0.445,0.384,0.254,0.207
2022-04-22,0.353,NA,0.072,0.386,0.25,NA,0.274,0.298,0.148
2022-04-24,0.387,0.445,0.05,0.428,0.219,0.478,0.4,0.208,0.319
2022-04-28,0.348,0.4,0.458,0.325,NA,0.412,0.402,0.201,0.248
2022-04-30,0.371,0.433,0.398,0.385,0.393,0.476,0.462,0.256,0.39
2022-05-02,0.398,0.432,0.272,0.412,NA,NA,0.49,0.18,0.466
2022-05-04,0.332,0.438,0.378,0.447,0.487,0.481,0.47,0.394,0.08
2022-05-07,0.41,0.452,0.046,0.468,0.322,0.455,0.4,0.399,0.239
2022-05-10,0.427,0.473,0.118,0.498,0.463,0.403,0.379,0.512,0.088
2022-05-11,0.364,0.431,0.024,0.459,0.284,0.357,0.314,0.388,0.26
2022-05-12,0.493,0.481,0.177,0.517,0.354,0.487,0.487,0.278,0.489
2022-05-13,0.416,0.46,0.433,0.451,0.535,0.452,0.437,0.425,0.059
2022-05-14,0.521,0.468,0.153,0.509,0.307,0.555,0.525,0.233,0.418
2022-05-16,0.354,0.459,0.358,0.497,0.553,0.465,0.443,0.52,0.078
2022-05-18,0.494,0.487,0.091,0.499,0.381,0.424,0.401,0.434,0.241
2022-05-20,0.559,0.499,0.494,0.523,NA,0.579,0.543,0.269,0.525
2022-05-24,0.451,0.497,0.323,0.517,0.491,0.441,0.376,0.577,0.082
2022-05-26,0.489,0.512,0.655,0.501,NA,0.563,0.57,0.293,0.382
2022-05-28,0.585,0.542,0.3,0.576,0.293,0.584,0.587,0.255,0.55
2022-05-30,0.556,0.537,0.291,0.563,0.348,OUT,0.479,0.352,0.442
2022-06-01,0.519,0.539,0.227,0.575,0.398,NA,0.442,0.505,0.28
2022-06-06,0.436,0.528,0.482,0.572,0.598,NA,0.464,0.778,0.058
2022-06-08,0.474,0.551,0.392,0.547,0.518,0.416,0.43,0.76,0.045
