Date,Quantity
2022-03-31,4
2022-04-05,3
2022-04-08,7
2022-04-09,7
2022-04-10,6
2022-04-11,8
2022-04-12,8
2022-04-13,10
2022-04-14,9
2022-04-15,10
2022-04-16,9
2022-04-18,10
2022-04-20,10
2022-04-22,10
2022-04-24,10
2022-04-26,10
2022-04-28,9
2022-04-30,10
2022-05-02,10
2022-05-04,9
2022-05-07,9
2022-05-10,11
2022-05-11,11
2022-05-12,11
2022-05-13,9
2022-05-14,10
2022-05-16,11
2022-05-18,11
2022-05-20,10
2022-05-24,11
2022-05-26,11
2022-05-28,10
2022-05-30,11
2022-06-01,10
2022-06-06,11
2022-06-08,10
